size_n,Model,Strategy,Input_Format,mean,std,success_percentage
32.0,4-turbo,chain,of_thought_ascii,0.0,0.0,0.0
32.0,4-turbo,chain,of_thought_coordinate_list,0.0,0.0,0.0
32.0,4-turbo,chain,of_thought_flattened_array,0.0,0.0,0.0
32.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
32.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
32.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
32.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
32.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
32.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
32.0,GPT-3.5,chain,of_thought_ascii,0.0,0.0,0.0
32.0,GPT-3.5,chain,of_thought_coordinate_list,0.0,0.0,0.0
32.0,GPT-3.5,chain,of_thought_flattened_array,0.0,0.0,0.0
32.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
32.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
32.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
32.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
32.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
32.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
32.0,GPT-4o,chain,of_thought_ascii,0.0,0.0,0.0
32.0,GPT-4o,chain,of_thought_coordinate_list,0.0,0.0,0.0
32.0,GPT-4o,chain,of_thought_flattened_array,0.0,0.0,0.0
32.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
32.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
32.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
32.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
32.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
32.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
64.0,4-turbo,chain,of_thought_ascii,0.0,0.0,0.0
64.0,4-turbo,chain,of_thought_coordinate_list,0.0,0.0,0.0
64.0,4-turbo,chain,of_thought_flattened_array,0.0,0.0,0.0
64.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
64.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
64.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
64.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
64.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
64.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
64.0,GPT-3.5,chain,of_thought_ascii,0.0,0.0,0.0
64.0,GPT-3.5,chain,of_thought_coordinate_list,0.0,0.0,0.0
64.0,GPT-3.5,chain,of_thought_flattened_array,0.0,0.0,0.0
64.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
64.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
64.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
64.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
64.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
64.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
64.0,GPT-4o,chain,of_thought_ascii,0.0,0.0,0.0
64.0,GPT-4o,chain,of_thought_coordinate_list,0.0,0.0,0.0
64.0,GPT-4o,chain,of_thought_flattened_array,0.0,0.0,0.0
64.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
64.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
64.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
64.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
64.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
64.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
128.0,4-turbo,chain,of_thought_ascii,0.0,0.0,0.0
128.0,4-turbo,chain,of_thought_coordinate_list,0.0,0.0,0.0
128.0,4-turbo,chain,of_thought_flattened_array,0.0,0.0,0.0
128.0,4-turbo,few,shot_ascii,1.0,0.0,100.0
128.0,4-turbo,few,shot_coordinate_list,1.0,0.0,100.0
128.0,4-turbo,few,shot_flattened_array,1.0,0.0,100.0
128.0,4-turbo,zero,shot_ascii,1.0,0.0,100.0
128.0,4-turbo,zero,shot_coordinate_list,1.0,0.0,100.0
128.0,4-turbo,zero,shot_flattened_array,1.0,0.0,100.0
128.0,GPT-3.5,chain,of_thought_ascii,0.0,0.0,0.0
128.0,GPT-3.5,chain,of_thought_coordinate_list,0.0,0.0,0.0
128.0,GPT-3.5,chain,of_thought_flattened_array,0.0,0.0,0.0
128.0,GPT-3.5,few,shot_ascii,1.0,0.0,100.0
128.0,GPT-3.5,few,shot_coordinate_list,1.0,0.0,100.0
128.0,GPT-3.5,few,shot_flattened_array,1.0,0.0,100.0
128.0,GPT-3.5,zero,shot_ascii,1.0,0.0,100.0
128.0,GPT-3.5,zero,shot_coordinate_list,1.0,0.0,100.0
128.0,GPT-3.5,zero,shot_flattened_array,1.0,0.0,100.0
128.0,GPT-4o,chain,of_thought_ascii,0.0,0.0,0.0
128.0,GPT-4o,chain,of_thought_coordinate_list,0.0,0.0,0.0
128.0,GPT-4o,chain,of_thought_flattened_array,0.0,0.0,0.0
128.0,GPT-4o,few,shot_ascii,1.0,0.0,100.0
128.0,GPT-4o,few,shot_coordinate_list,1.0,0.0,100.0
128.0,GPT-4o,few,shot_flattened_array,1.0,0.0,100.0
128.0,GPT-4o,zero,shot_ascii,1.0,0.0,100.0
128.0,GPT-4o,zero,shot_coordinate_list,1.0,0.0,100.0
128.0,GPT-4o,zero,shot_flattened_array,1.0,0.0,100.0
